iter	Passed	Remaining
461	791	921
462	793	919
463	794	917
464	796	916
465	798	914
466	799	912
467	801	910
468	802	908
469	804	907
470	806	905
471	807	903
472	809	901
473	810	899
474	812	897
475	813	895
476	815	894
477	816	892
478	818	890
479	820	888
480	821	886
481	823	885
482	825	883
483	826	881
484	828	879
485	829	877
486	831	875
487	833	874
488	835	872
489	836	870
490	838	869
491	839	867
492	841	865
493	842	863
494	844	861
495	846	859
496	848	858
497	849	856
498	851	854
499	852	852
500	854	850
501	855	848
502	857	847
503	859	845
504	860	843
505	862	841
506	864	840
507	865	838
508	867	836
509	868	834
510	870	833
511	872	831
512	874	829
513	875	828
514	877	826
515	878	824
516	880	822
517	881	820
518	883	818
519	885	817
520	886	815
521	888	813
522	890	811
523	891	810
524	893	808
525	894	806
526	896	804
527	898	802
528	899	801
529	901	799
530	902	797
531	904	795
532	906	793
533	907	791
534	909	790
535	910	788
536	912	786
537	913	784
538	915	782
539	916	781
540	918	779
541	920	777
542	921	775
543	923	774
544	924	772
545	926	770
546	927	768
547	929	766
548	931	764
549	932	763
550	934	761
551	936	759
552	938	758
553	939	756
554	941	754
555	942	752
556	944	751
557	946	749
558	947	747
559	949	746
560	951	744
561	952	742
562	954	740
563	955	738
564	957	736
565	959	735
566	960	733
567	962	731
568	963	730
569	965	728
570	966	726
571	968	724
572	969	722
573	971	721
574	973	719
575	975	717
576	977	716
577	978	714
578	980	712
579	981	710
580	983	709
581	985	707
582	987	706
583	988	704
584	990	702
585	992	700
586	993	699
587	995	697
588	997	695
589	998	694
590	1000	692
591	1001	690
592	1003	688
593	1005	686
594	1006	685
595	1008	683
596	1010	681
597	1012	680
598	1013	678
599	1015	677
600	1017	675
601	1019	673
602	1021	672
603	1023	671
604	1025	669
605	1027	667
606	1028	666
607	1030	664
608	1032	662
609	1034	661
610	1036	659
611	1037	657
612	1039	656
613	1040	654
614	1042	652
615	1044	650
616	1046	649
617	1048	648
618	1050	646
619	1052	644
620	1053	643
621	1055	641
622	1058	640
623	1059	638
624	1061	636
625	1063	635
626	1065	633
627	1066	632
628	1068	630
629	1071	629
630	1072	627
631	1074	625
632	1076	623
633	1078	622
634	1079	620
635	1081	619
636	1083	617
637	1085	616
638	1087	614
639	1089	613
640	1091	611
641	1093	609
642	1095	608
643	1097	606
644	1099	605
645	1101	603
646	1103	601
647	1104	600
648	1107	598
649	1108	597
650	1110	595
651	1112	593
652	1114	592
653	1115	590
654	1117	588
655	1119	587
656	1121	585
657	1123	583
658	1124	582
659	1126	580
660	1128	578
661	1130	576
662	1132	575
663	1134	573
664	1135	572
665	1137	570
666	1138	568
667	1140	566
668	1142	565
669	1144	563
670	1146	562
671	1148	560
672	1149	558
673	1151	557
674	1153	555
675	1154	553
676	1156	551
677	1158	550
678	1160	548
679	1162	546
680	1163	545
681	1165	543
682	1167	541
683	1169	540
684	1171	538
685	1173	536
686	1174	535
687	1177	533
688	1178	532
689	1180	530
690	1182	528
691	1184	527
692	1185	525
693	1187	523
694	1189	521
695	1190	520
696	1192	518
697	1194	516
698	1195	514
699	1197	513
700	1199	511
701	1200	509
702	1202	507
703	1204	506
704	1206	504
705	1208	503
706	1210	501
707	1212	499
708	1214	498
709	1215	496
710	1218	495
711	1220	493
712	1222	491
713	1224	490
714	1226	488
715	1227	487
716	1230	485
717	1232	484
718	1234	482
719	1236	480
720	1238	479
721	1240	477
722	1243	476
723	1245	474
724	1247	473
725	1249	471
726	1251	469
727	1253	468
728	1255	466
729	1256	464
730	1258	463
731	1259	461
732	1261	459
733	1262	457
734	1264	455
735	1266	454
736	1268	452
737	1269	450
738	1271	449
739	1273	447
740	1275	445
741	1276	443
742	1278	442
743	1280	440
744	1282	439
745	1284	437
746	1285	435
747	1287	433
748	1289	432
749	1291	430
750	1293	428
751	1295	427
752	1296	425
753	1298	423
754	1300	421
755	1302	420
756	1304	418
757	1306	417
758	1308	415
759	1310	413
760	1311	412
761	1313	410
762	1316	408
763	1318	407
764	1319	405
765	1321	403
766	1323	402
767	1325	400
768	1326	398
769	1328	396
770	1330	395
771	1332	393
772	1333	391
773	1335	389
774	1337	388
775	1338	386
776	1340	384
777	1342	383
778	1343	381
779	1345	379
780	1347	377
781	1348	375
782	1350	374
783	1351	372
784	1353	370
785	1355	369
786	1356	367
787	1358	365
788	1359	363
789	1361	361
790	1363	360
791	1364	358
792	1366	356
793	1367	354
794	1369	353
795	1370	351
796	1372	349
797	1374	347
798	1375	346
799	1377	344
800	1379	342
801	1380	340
802	1382	339
803	1383	337
804	1385	335
805	1387	333
806	1388	332
807	1390	330
808	1392	328
809	1394	327
810	1396	325
811	1398	323
812	1399	321
813	1401	320
814	1403	318
815	1405	316
816	1406	315
817	1408	313
818	1409	311
819	1411	309
820	1412	308
821	1414	306
822	1416	304
823	1418	302
824	1420	301
825	1421	299
826	1423	297
827	1424	295
828	1426	294
829	1428	292
830	1430	290
831	1431	289
832	1433	287
833	1434	285
834	1436	283
835	1438	282
836	1439	280
837	1441	278
838	1443	276
839	1444	275
840	1446	273
841	1448	271
842	1449	269
843	1451	268
844	1454	266
845	1456	265
846	1457	263
847	1459	261
848	1461	259
849	1462	258
850	1464	256
851	1466	254
852	1468	253
853	1470	251
854	1471	249
855	1473	247
856	1475	246
857	1478	244
858	1479	242
859	1481	241
860	1483	239
861	1484	237
862	1486	235
863	1488	234
864	1490	232
865	1492	230
866	1493	229
867	1495	227
868	1497	225
869	1499	224
870	1501	222
871	1503	220
872	1505	218
873	1506	217
874	1508	215
875	1510	213
876	1511	212
877	1513	210
878	1515	208
879	1517	206
880	1519	205
881	1521	203
882	1522	201
883	1524	200
884	1526	198
885	1528	196
886	1530	194
887	1532	193
888	1534	191
889	1536	189
890	1538	188
891	1540	186
892	1541	184
893	1543	183
894	1545	181
895	1547	179
896	1549	177
897	1551	176
898	1552	174
899	1554	172
900	1556	171
901	1558	169
902	1560	167
903	1562	165
904	1564	164
905	1565	162
906	1567	160
907	1569	158
908	1570	157
909	1572	155
910	1574	153
911	1576	152
912	1578	150
913	1580	148
914	1582	146
915	1584	145
916	1586	143
917	1588	141
918	1590	140
919	1592	138
920	1594	136
921	1595	135
922	1597	133
923	1599	131
924	1601	129
925	1603	128
926	1605	126
927	1607	124
928	1609	122
929	1611	121
930	1613	119
931	1614	117
932	1616	116
933	1618	114
934	1620	112
935	1621	110
936	1624	109
937	1625	107
938	1627	105
939	1629	103
940	1630	102
941	1632	100
942	1634	98
943	1635	97
944	1638	95
945	1639	93
946	1641	91
947	1643	90
948	1645	88
949	1646	86
950	1648	84
951	1650	83
952	1652	81
953	1654	79
954	1656	78
955	1658	76
956	1660	74
957	1662	72
958	1664	71
959	1666	69
960	1668	67
961	1670	65
962	1672	64
963	1673	62
964	1676	60
965	1677	59
966	1679	57
967	1681	55
968	1683	53
969	1685	52
970	1687	50
971	1689	48
972	1690	46
973	1692	45
974	1693	43
975	1695	41
976	1697	39
977	1699	38
978	1701	36
979	1703	34
980	1705	33
981	1706	31
982	1708	29
983	1710	27
984	1712	26
985	1714	24
986	1716	22
987	1718	20
988	1720	19
989	1722	17
990	1724	15
991	1726	13
992	1728	12
993	1730	10
994	1732	8
995	1734	6
996	1736	5
997	1738	3
998	1740	1
999	1742	0
